iso	glottocode	name	status	WRITING	DEVELOPMENT	USE	SIGN_LANGUAGE	UNWRITTEN	LITERATURE	NEWSPAPERS	TV	RADIO	TAUGHT	SHIFTING	SHIFTED	NT	OT	BIBLE	Dictionary	Grammar	LITERACY_L1	LITERACY_L2	Writing	Language Development	Language Use
lby	lamu1254	Lamu-Lamu	Primarily oral	EMPTY	EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	1	0	0		0	0	N/A	N/A			Shifted to English [eng].
xeu	keor1235	Keuru	Primarily oral	NOT_EMPTY	EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Unwritten [Qaax].		Used by all. Some also use Hiri Motu [hmo], especially older adults. Some also use Tok Pisin [tpi], especially young people. Also use Orokolo [oro], but decreasingly as L2.
kwp	kodi1246	Kodia	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	15%–25%.	Unwritten [Qaax].	Literacy rate in L2: 15%–25%.	Some young people, all adults. Also use French [fra].
xat	kata1270	Katawixi	Primarily oral	EMPTY	EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	1	0	0		0	0	N/A	N/A			Shifted to Portuguese [por].
ojv	onto1237	Ontong Java	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	1	0		1	1	30%–60%.	25%–50%.	Latin script [Latn].	Literacy rate in L1: 30%–60%. Literacy rate in L2: 25%–50%. Dictionary. Grammar. NT: 1998.	Used by all. Also use English [eng].
wrk	gara1269	Garrwa	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	1	0	0		1	1	N/A	N/A	Latin script [Latn].	Dictionary. Grammar. Texts. Bible portions: 1983–1991.	Children have not been learning the language since 1980s (Mushin 2012). Older adults only. Shifted to English [eng]. Shifted to Kriol [rop]. Used as L2 by Yanyuwa [jao].
yer	taro1263	Tarok	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	1	0		0	1	5%–10%.	50%–75%.	Latin script [Latn], used since 1977.	Literacy rate in L1: 5%–10%. Literacy rate in L2: 50%–75%. Literacy program in progress. Grammar. NT: 1988–2007.	Also use English [eng]. Used as L2 by Pye [pai], Wãpha [juw], Ywom [gek].
bbd	bauu1244	Bau	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Latin script [Latn].	Bible portions: 2010.	Most children learn Tok Pisin [tpi] first, and then learn Fulumu [bbd] whenthey’re older (2000 SIL). Some young people, all adults. All also use Tok Pisin [tpi]. Some alsouse Amele [aey], especially elderly.
yac	pass1247	Yali, Pass Valley	Primarily oral	NOT_EMPTY	NOT_EMPTY	EMPTY	0	0	0	0	0	0	0	0	0	1	0		0	0	N/A	N/A	Latin script [Latn], limited usage.	NT: 1977.	
bar	bava1246	Bavarian	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		1	1	N/A	N/A	Latin script [Latn].	Dictionary. Grammar. Texts. Bible: 1998.	Vigorous. Also use Standard German [deu], which is the language ofinstruction in school.
okg	koko1273	Koko Babangk	Primarily oral	NOT_EMPTY	EMPTY	EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Unwritten [Qaax].		
urx	urim1251	Urimo	Primarily oral	EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	1	0	0	0		0	0	Below 5%.	25%–50%.		Literacy rate in L1: Below 5%. Literacy rate in L2: 25%–50%.	Adults only. Shifting to Tok Pisin [tpi].
hhr	kera1248	Kerak	Primarily oral	NOT_EMPTY	EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Unwritten [Qaax].		Those who have moved to larger urban areas no longer pass the language totheir children (2013 SIL). Used by all. Many also use Wolof [wol], as the language of commerceand interethnic communication (Sarr and Thiaw 2012). Some also use French [fra], as the languageof education and government (Diouf et al 2017).
sko	seko1242	Seko Tengah	Primarily oral	NOT_EMPTY	EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Unwritten [Qaax].		Also use Indonesian [ind]. Used as L2 by Panasuan [psn].
nuc	nuku1263	Nukuini	Primarily oral	EMPTY	EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	1	0	0		0	0	N/A	N/A			Portuguese [por] used for 3 generations. Some older people remember some Nukuini. Shifted to Portuguese [por].
kse	kuni1263	Kuni	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		1	0	N/A	25%–50%.	Latin script [Latn].	Literacy rate in L2: 25%–50%. Dictionary. Texts.	All domains except when instructing children, arguing with family, and joking, where there is mixed use with Hiri Motu [hmo] and English [eng]. Used by all. Positive attitudes. Also use English [eng]. Also use Hiri Motu [hmo].
szs	solo1262	Solomon Islands Sign Language	Primarily oral	EMPTY	NOT_EMPTY	NOT_EMPTY	1	0	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A		Agency: Solomon Islands Deaf Association.	Vigorous. All domains. Used by all. Positive attitudes.
kmj	kuma1274	Kumarbhag Paharia	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		1	1	N/A	N/A	Unwritten [Qaax].	Dictionary. Grammar.	Vigorous. All domains. Positive attitudes. Also use Bengali [ben]. Also use English [eng]. Also use Hindi [hin].
zkd	kadu1254	Kadu	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		0	1	N/A	N/A	Latin script [Latn], in development.	Grammar. Bible portions: 1939.	Vigorous in Banmauk Township (Settaw and Mawkhwin dialects), almost extinct in Indaw and Pinlebu townships (Mawteik dialect) where speakers have shifted to Burmese [mya]. All domains. Some young people, all adults. All ages in Banmauk Township; only over 80 years old in Indaw Township. Positive attitudes. Also use Burmese [mya].
atm	ataa1240	Ata	Primarily oral	EMPTY	EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	1	0	0		0	0	N/A	N/A			Negative attitudes. Shifted to Cebuano [ceb].
bwa	bwat1240	Bwatoo	Primarily oral	EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	1	0	0	0		1	0	N/A	N/A		Dictionary.	Potentially endangered (2000 D. Tryon). Shifting to Paicî [pri]. Also useAjië [aji]. Also use French [fra].
tor	togb1241	Banda, Togbo-Vara	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	Low in Lingala [lin] and not increasing.	Unwritten [Qaax].	Literacy rate in L2: Low in Lingala [lin] and not increasing.	Also use Lingala [lin]. Also use Mono [mnh]. Also use Sango [sag].
glw	glav1244	Glavda	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		1	0	N/A	5%.	Latin script [Latn].	Literacy rate in L2: 5%. Dictionary. Bible portions: 1967–2017.	Also use English [eng].
trq	sanm1298	Triqui, San Martín Itunyoso	Primarily oral	NOT_EMPTY	NOT_EMPTY	EMPTY	0	0	0	0	0	0	0	0	0	1	0		0	0	N/A	N/A	Latin script [Latn].	NT: 1996.	
lkj	remu1237	Remun	Primarily oral	NOT_EMPTY	EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Unwritten [Qaax].		Strong identity centered around the Remun isolect. Some young people, all adults. Also use Bidayuh Serian [sdo]. Also use English [eng]. Also use Iban [iba]. Also use Malay [zlm].
yuz	yura1255	Yuracare	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	1	0	1	0		1	1	N/A	N/A	Latin script [Latn].	Dictionary. Grammar. NT: 1999.	Adults only. Shifting to Spanish [spa].
wof	gamb1252	Wolof, Gambian	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Latin script [Latn].	Bible portions: 1882–1967.	Also use English [eng], as the language of education and government. Used as L2 by Bambara [bam], Guinea-Bissau Creole [pov], Jola-Fonyi [dyo], Mandinka [mnk], Mandjak [mfv], Pulaar [fuc], Serahule [snk], Serer-Sine [srr], Western Maninkakan [mlq].
swb	maor1244	Comorian	Primarily oral	NOT_EMPTY	NOT_EMPTY	EMPTY	0	0	0	0	0	0	0	0	0	1	0		0	0	N/A	N/A	Arabic script, Naskh variant [Arab]. Latin script [Latn].	NT: 1995–2021.	
ynn	yana1271	Yana	Primarily oral	EMPTY	NOT_EMPTY	EMPTY	0	0	0	0	0	0	0	0	0	0	0		1	0	N/A	N/A		Dictionary.	
ppt	pare1271	Pare	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		0	0	Below 5%.	5%–15%.	Latin script [Latn].	Literacy rate in L1: Below 5%. Literacy rate in L2: 5%–15%. Bible portions: 1978–1980.	Used by all.
gac	mixe1288	Mixed Great Andamanese	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	1	0	0		0	1	N/A	N/A	Unwritten [Qaax].	Grammar.	Shifted to Andaman Hindi Creole [hca]. Used as L2 by Aka-Jeru [akj].
nwe	ngwe1238	Ngwe	Primarily oral	NOT_EMPTY	EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Unwritten [Qaax].		Used by all. All also use Cameroon Pidgin [wes]. Most also use English [eng]. Some also use Yemba [ybb]. A few also use French [fra]. Used as L2 by Yemba [ybb].
cpx	puxi1243	Pu-Xian Chinese	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		0	0	N/A	91% (2000 census, Han nationality).	Latin script [Latn], used between 1890–1950, once used in a newspaper.	Literacy rate in L2: 91% (2000 census, Han nationality). Highly literate inChinese, and they use that literature. Bible: 1912.	Used by all. Also use Mandarin Chinese [cmn].
lar	lart1238	Larteh	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	1	N/A	5%–15%.	Unwritten [Qaax].	Literacy rate in L2: 5%–15%. Grammar.	Also use Akan [aka].
pwi	patw1250	Patwin	Primarily oral	EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	1	0	0		0	1	N/A	N/A		Grammar. The Yocha Dehe Wintun Nation has offered language classes since 2006. There are 14 youth classes and 2 adult classes taught in Yocha Dehe on a weekly basis (2018 Yocha Dehe Wintun Nation).	Shifted to English [eng].
nmr	nimb1256	Nimbari	Primarily oral	NOT_EMPTY	EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	1	0	0		0	0	N/A	N/A	Unwritten [Qaax].		Shifted to South Fali [fal].
kyc	kyak1244	Kyaka	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	1	0		1	0	N/A	N/A	Latin script [Latn].	Dictionary. NT: 1973–1987.	Also use English [eng] (Draper and Draper 2002). Also use Melpa [med] (Draper and Draper 2002). Also use Tok Pisin [tpi] (Draper and Draper 2002).
khz	keap1239	Keapara	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	1	0		0	0	N/A	N/A	Latin script [Latn].	NT: 2004.	Used by all. Also use English [eng].
avs	aush1242	Aushiri	Primarily oral	NOT_EMPTY	EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	1	0	0		0	0	N/A	N/A	Unwritten [Qaax].		Shifted to Napo Quichua [qvo].
ndp	ndoo1242	Ndo	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	1	0		0	0	N/A	N/A	Latin script [Latn], used since 1964.	NT: 1994.	Most also use Alur [alz]. Many also use English [eng]. Some also use Swahili [swh].
zkn	gana1267	Kanan	Primarily oral	NOT_EMPTY	EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Unwritten [Qaax].		Vigorous. All domains. Used by all. Positive attitudes. Also use Burmese [mya].
afp	tape1242	Tapei	Primarily oral	NOT_EMPTY	EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Unwritten [Qaax].		All domains. Used by all. Many also use Tok Pisin [tpi] (Kassell et al2017).
vmj	ixta1235	Mixtec, Ixtayutla	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Latin script [Latn].	Bible portions: 2013–2023.	Home, friends, work. Also use Amoltepec Mixtec [mbz]. Also use Jamiltepec Mixtec [mxt], proficiently and preferred over Spanish. Also use Spanish [spa], but it is not preferred, except in the municipal capital, Ixtayutla.
ktt	ketu1238	Ketum	Primarily oral	NOT_EMPTY	EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Unwritten [Qaax].		Home, community.
ash	abis1238	Abishira	Primarily oral	NOT_EMPTY	EMPTY	EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Unwritten [Qaax].		
weg	werg1234	Wergaia	Primarily oral	NOT_EMPTY	EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	1	0	0		0	0	N/A	N/A	Unwritten [Qaax].		Shifted to English [eng].
vif	vili1238	Vili	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	1	0		1	0	N/A	N/A	Latin script [Latn].	Dictionary. NT: 2019.	Used by all. Also use Kituba [mkw].
biw	kolc1235	Kol (Cameroon)	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		0	1	N/A	N/A	Latin script [Latn].	Grammar.	Many also use French [fra]. Some also use Bulu [bum]. Some also useKoonzime [ozm]. Some also use Makaa [mcp].
jim	jimi1254	Jimi (Cameroon)	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Latin script [Latn].	Bible portions: 2006–2009.	Vigorous. All domains. Used by all. Positive attitudes. Many also use Gude[gde] (Brye 2002). Also use Adamawa Fulfulde [fub]. Also use French [fra].
udg	mudu1239	Muduga	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	1	0		0	0	N/A	25% (31% men and 17% women) (1991 census).	Malayalam script [Mlym].	Literacy rate in L2: 25% (31% men and 17% women) (1991 census). One of the least literate communities in Kerala, but 73% of survey respondents claim to be literate in Malayalam [mal]. NT: 2018.	Vigorous, children learn it first. Home, village, religion. Used by all. Positive attitudes. Also use English [eng]. Also use Malayalam [mal]. Education often determines the extent of bilingualism in it, but even some higher educated Muduga are not adequately bilingual. Used as L2 by Attapady Kurumba [pkr], Kannada Kurumba [kfi].
srl	isir1237	Isirawa	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	1	0		0	0	5%–15%.	N/A	Latin script [Latn].	Literacy rate in L1: 5%–15%. NT: 2005.	Potentially endangered (2000 S. Wurm). Vigorous, but losing its trade language status to Indonesian [ind]; children are beginning to prefer Indonesian (Wurm 2007). Some young people, all adults. Also use Indonesian [ind]. Used as L2 by Samarokena [tmj].
kta	katu1273	Katua	Primarily oral	NOT_EMPTY	EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Unwritten [Qaax].		Also use Vietnamese [vie].
jwi	jwir1241	Jwira-Pepesa	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	50%–75%.	Unwritten [Qaax].	Literacy rate in L2: 50%–75%.	Also use Nzema [nzi], in the south. Also use Wasa [wss], especially Pepesadialect speakers and in the north.
skv	nucl1634	Skou	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		1	1	10%.	10% in Indonesian [ind].	Latin script [Latn].	Literacy rate in L1: 10%. Literacy rate in L2: 10% in Indonesian [ind]. Literacy motivation high, program in progress. Dictionary. Grammar.	All domains. Used by all. Also use Dumo [vam]. Also use Indonesian [ind]. Also use Papuan Malay [pmy]. Also use Wutung [wut].
zbt	batu1260	Batui	Primarily oral	NOT_EMPTY	EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	1	0	0	0		0	0	N/A	N/A	Unwritten [Qaax].		Home, cultural events. Adults only. Positive attitudes. Shifting to Indonesian [ind].
grc	anci1242	Greek, Ancient (to 1453)	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		1	1	N/A	N/A	Cypriot syllabary [Cprt]. Greek script [Grek]. Linear B script [Linb].	Dictionary. Grammar.	Used as a religious language by the Greek Orthodox Church. The language ofthe text of the Christian New Testament.
lsy	maur1240	Mauritian Sign Language	Primarily oral	EMPTY	NOT_EMPTY	NOT_EMPTY	1	0	0	0	0	0	0	0	0	0	0		1	0	N/A	N/A		Dictionary. Agency: Society for the Welfare of the Deaf (SWDEAF).	Deaf schools. Used by all.
pnk	paun1241	Paunaka	Primarily oral	NOT_EMPTY	EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Unwritten [Qaax].		Many shifted to Chiquitano [cax]. Many shifted to Spanish [spa].
lol	mong1338	Mongo	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		1	1	N/A	N/A	Latin script [Latn].	Dictionary. Grammar. Texts. Bible: 1930.	Also use Lingala [lin], increasingly. Used as L2 by Bolia [bli], Lalia [lal].
zhw	zhoa1238	Zhoa	Primarily oral	NOT_EMPTY	EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Unwritten [Qaax].		Some young people, all adults. Many also use Cameroon Pidgin [wes]. Many also use English [eng], as language of public education.
mzd	mali1280	Malimba	Primarily oral	NOT_EMPTY	EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Unwritten [Qaax].		Some young people, all adults. Most also use Duala [dua]. Most also use French [fra].
mqs	west2600	Makian, West	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	25%–50%.	Unwritten [Qaax].	Literacy rate in L2: 25%–50%.	Also use Indonesian [ind].
ktg	kalk1246	Kalkutungu	Primarily oral	EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	1	0	0		0	1	N/A	N/A		Grammar. Texts.	Shifted to English [eng].
tsm	turk1288	Turkish Sign Language	Primarily oral	EMPTY	NOT_EMPTY	NOT_EMPTY	1	0	0	0	0	0	0	0	0	0	0		1	0	N/A	N/A		Dictionary. Agency: Turkish National Federation of the Deaf.	Vigorous. Used by all. Also use Turkish [tur]. Used as L2 by Mardin Sign Language [dsz].
age	anga1293	Angal	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Latin script [Latn].	Bible portions: 1990.	Also use Enga [enq]. Also use Tok Pisin [tpi].
wub	wuna1249	Wunambal	Primarily oral	EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	1	0	0		1	0	N/A	N/A		Dictionary. Texts.	People generally speak Kriol [rop]. Children may know some of the language, but most speak Kriol or English [eng]. Shifted to English [eng]. Shifted to Kriol [rop].
kai	kare1348	Karekare	Primarily oral	NOT_EMPTY	NOT_EMPTY	EMPTY	0	0	0	0	0	0	0	0	0	1	0		1	0	N/A	N/A	Latin script [Latn], used since 1988.	Dictionary. Texts. NT: 2022.	
bah	baha1260	Bahamas Creole English	Primarily oral	NOT_EMPTY	NOT_EMPTY	EMPTY	0	0	0	0	0	0	0	0	0	0	0		1	0	N/A	N/A	Latin script [Latn].	Dictionary.	
mss	west2535	Masela, West	Primarily oral	NOT_EMPTY	EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	1	0	0	0		0	0	N/A	N/A	Unwritten [Qaax].		Possibly endangered (Florey 2005). Home, gardens, village, ceremonies, religion. Shifting to Ambonese Malay [abs]. Also use Indonesian [ind], primarily in government and Christian religious domains.
gii	giri1245	Girirra	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	1	N/A	N/A	Unwritten [Qaax].	Grammar.	Some young people, all adults. Most also use Borana-Arsi-Guji Oromo [gax](Mekonnen 2015). Most also use Somali [som] (Mekonnen 2015).
lgk	ling1265	Lingarak	Primarily oral	EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		0	1	N/A	N/A		Grammar.	Potentially endangered (2000 D. Tryon). Most key domains. Some young people, all adults. Positive attitudes.
gnc	guan1277	Guanche	Primarily oral	EMPTY	NOT_EMPTY	EMPTY	0	0	0	0	0	0	0	0	0	0	0		1	0	N/A	N/A		Dictionary.	
atr	waim1253	Atruahí	Primarily oral	EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		1	1	N/A	N/A		Dictionary. Grammar.	Used by all. Some also use Portuguese [por], especially males (Crevels2007).
frs	nort2628	Frisian, Eastern	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	1	0		1	1	N/A	N/A	Latin script [Latn].	Dictionary. Grammar. NT: 2023.	Adults only. All shifting to Standard German [deu]. Used as L2 bySaterfriesisch [stq].
ctl	tlac1239	Chinantec, Tlacoatzintepec	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Latin script [Latn].	Texts. Bible portions: 1991–2008.	In Tlacoatzintepec and environs, the children are still growing up speakingChinantec. (2011 SIL). Used by all.
wgi	nucl1620	Wahgi	Primarily oral	NOT_EMPTY	NOT_EMPTY	EMPTY	0	0	0	0	0	0	0	0	0	1	0		1	1	N/A	N/A	Latin script [Latn].	Dictionary. Grammar. NT: 1989.	
ruf	lugu1238	Luguru	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	1	0		0	0	N/A	N/A	Latin script [Latn].	Texts. NT: 2014.	Some young people, all adults. Also use English [eng].
dmo	keme1240	Kemezung	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		1	0	5%.	N/A	Latin script [Latn].	Literacy rate in L1: 5%. Literacy program started in 2011. Schooling is inEnglish. Dictionary. Bible portions: 2014–2019.	All domains. Used by all. Positive attitudes. Also use Cameroon Pidgin[wes]. Also use Chung [cnq]. Also use English [eng]. Also use Kom [bkm]. Also use Lamnsoʼ [lns].Also use Limbum [lmp]. Also use Naami [bzv]. Also use Nchane [ncr]. Also use Sari [asj]. Alsouse Tigon Mbembe [nza]. Used as L2 by Chung [cnq], Naami [bzv], Nchane [ncr], Sari [asj].
amr	amar1274	Amarakaeri	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	1	0		1	1	5%.	75%.	Latin script [Latn].	Literacy rate in L1: 5%. Literacy rate in L2: 75%. Dictionary. Grammar.Texts. NT: 1986–2008.	Still spoken by the children in some communities (2012). Also use Spanish[spa].
bll	bilo1248	Biloxi	Primarily oral	EMPTY	NOT_EMPTY	EMPTY	0	0	0	0	0	0	0	0	0	0	0		1	1	N/A	N/A		Dictionary. Grammar.	
